iter	Passed	Remaining
596	2273	1534
597	2276	1530
598	2279	1525
599	2282	1521
600	2285	1517
601	2288	1512
602	2291	1508
603	2295	1504
604	2298	1500
605	2301	1496
606	2304	1491
607	2307	1487
608	2310	1483
609	2313	1478
610	2316	1474
611	2319	1470
612	2322	1466
613	2325	1462
614	2328	1457
615	2332	1453
616	2334	1449
617	2338	1445
618	2341	1441
619	2344	1437
620	2347	1432
621	2350	1428
622	2353	1424
623	2356	1419
624	2359	1415
625	2362	1411
626	2365	1407
627	2368	1403
628	2372	1399
629	2375	1394
630	2378	1390
631	2381	1386
632	2384	1382
633	2388	1378
634	2391	1374
635	2394	1370
636	2397	1366
637	2400	1361
638	2403	1357
639	2406	1353
640	2409	1349
641	2412	1345
642	2416	1341
643	2419	1337
644	2422	1333
645	2425	1329
646	2428	1325
647	2431	1320
648	2435	1316
649	2438	1312
650	2441	1308
651	2444	1304
652	2447	1300
653	2450	1296
654	2453	1292
655	2457	1288
656	2460	1284
657	2463	1280
658	2466	1276
659	2470	1272
660	2473	1268
661	2477	1264
662	2480	1260
663	2483	1256
664	2486	1252
665	2489	1248
666	2493	1244
667	2496	1240
668	2499	1236
669	2502	1232
670	2505	1228
671	2509	1224
672	2512	1220
673	2515	1216
674	2519	1213
675	2522	1209
676	2526	1205
677	2528	1201
678	2532	1197
679	2535	1193
680	2538	1189
681	2541	1185
682	2544	1181
683	2548	1177
684	2551	1173
685	2556	1170
686	2560	1166
687	2563	1162
688	2566	1158
689	2569	1154
690	2573	1150
691	2576	1146
692	2579	1142
693	2582	1138
694	2586	1134
695	2589	1131
696	2592	1127
697	2596	1123
698	2598	1118
699	2601	1114
700	2604	1111
701	2607	1107
702	2611	1103
703	2614	1099
704	2617	1095
705	2620	1091
706	2624	1087
707	2627	1083
708	2630	1079
709	2633	1075
710	2636	1071
711	2639	1067
712	2642	1063
713	2645	1059
714	2648	1055
715	2652	1051
716	2654	1047
717	2658	1044
718	2661	1040
719	2664	1036
720	2667	1032
721	2670	1028
722	2674	1024
723	2677	1020
724	2680	1016
725	2683	1012
726	2686	1008
727	2690	1005
728	2693	1001
729	2696	997
730	2699	993
731	2703	989
732	2706	985
733	2709	981
734	2712	978
735	2715	974
736	2719	970
737	2722	966
738	2725	962
739	2728	958
740	2731	954
741	2735	951
742	2738	947
743	2741	943
744	2744	939
745	2748	935
746	2751	931
747	2754	928
748	2757	924
749	2761	920
750	2764	916
751	2767	912
752	2771	908
753	2773	905
754	2777	901
755	2780	897
756	2783	893
757	2786	889
758	2790	885
759	2793	882
760	2796	878
761	2799	874
762	2803	870
763	2806	866
764	2809	863
765	2812	859
766	2815	855
767	2818	851
768	2821	847
769	2824	843
770	2827	839
771	2830	836
772	2833	832
773	2837	828
774	2840	824
775	2843	820
776	2846	817
777	2849	813
778	2853	809
779	2856	805
780	2859	801
781	2862	797
782	2865	794
783	2868	790
784	2871	786
785	2874	782
786	2878	778
787	2881	775
788	2884	771
789	2887	767
790	2890	763
791	2894	760
792	2897	756
793	2900	752
794	2903	748
795	2906	744
796	2910	741
797	2913	737
798	2916	733
799	2919	729
800	2922	726
801	2925	722
802	2929	718
803	2932	714
804	2935	711
805	2938	707
806	2941	703
807	2944	699
808	2948	696
809	2951	692
810	2954	688
811	2957	684
812	2960	680
813	2963	677
814	2966	673
815	2969	669
816	2972	665
817	2975	662
818	2979	658
819	2982	654
820	2985	650
821	2989	647
822	2992	643
823	2995	639
824	2998	636
825	3002	632
826	3005	628
827	3008	624
828	3011	621
829	3014	617
830	3017	613
831	3020	609
832	3023	606
833	3026	602
834	3029	598
835	3033	595
836	3036	591
837	3039	587
838	3042	583
839	3045	580
840	3048	576
841	3051	572
842	3055	569
843	3058	565
844	3062	561
845	3065	557
846	3068	554
847	3071	550
848	3073	546
849	3077	543
850	3080	539
851	3083	535
852	3086	531
853	3090	528
854	3092	524
855	3095	520
856	3098	517
857	3101	513
858	3105	509
859	3108	506
860	3111	502
861	3114	498
862	3118	494
863	3121	491
864	3124	487
865	3128	484
866	3131	480
867	3134	476
868	3138	473
869	3141	469
870	3144	465
871	3148	462
872	3151	458
873	3154	454
874	3157	451
875	3161	447
876	3164	443
877	3167	440
878	3170	436
879	3173	432
880	3176	429
881	3180	425
882	3183	421
883	3186	418
884	3189	414
885	3192	410
886	3198	407
887	3201	403
888	3204	400
889	3207	396
890	3210	392
891	3213	389
892	3217	385
893	3220	381
894	3223	378
895	3226	374
896	3229	370
897	3232	367
898	3236	363
899	3239	359
900	3242	356
901	3245	352
902	3248	348
903	3251	345
904	3254	341
905	3257	338
906	3260	334
907	3264	330
908	3267	327
909	3270	323
910	3273	319
911	3276	316
912	3279	312
913	3282	308
914	3286	305
915	3289	301
916	3292	297
917	3295	294
918	3298	290
919	3301	287
920	3304	283
921	3308	279
922	3311	276
923	3314	272
924	3318	269
925	3321	265
926	3324	261
927	3327	258
928	3330	254
929	3333	250
930	3336	247
931	3340	243
932	3343	240
933	3346	236
934	3349	232
935	3353	229
936	3356	225
937	3359	222
938	3363	218
939	3366	214
940	3369	211
941	3372	207
942	3375	204
943	3378	200
944	3381	196
945	3385	193
946	3388	189
947	3391	186
948	3394	182
949	3397	178
950	3401	175
951	3404	171
952	3407	168
953	3410	164
954	3414	160
955	3417	157
956	3420	153
957	3423	150
958	3426	146
959	3430	142
960	3433	139
961	3436	135
962	3439	132
963	3442	128
964	3445	124
965	3448	121
966	3452	117
967	3455	114
968	3458	110
969	3461	107
970	3464	103
971	3467	99
972	3470	96
973	3474	92
974	3477	89
975	3480	85
976	3483	82
977	3486	78
978	3489	74
979	3492	71
980	3495	67
981	3499	64
982	3501	60
983	3504	56
984	3507	53
985	3511	49
986	3515	46
987	3518	42
988	3521	39
989	3524	35
990	3528	32
991	3531	28
992	3534	24
993	3537	21
994	3541	17
995	3544	14
996	3547	10
997	3550	7
998	3553	3
999	3557	0
